Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hour,Duration_min,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Vistara,Vistara Premium economy,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Chennai,Delhi,Kolkata,Mumbai,Price
0,24,3,22,20,1,10,2,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3897
2,1,5,5,50,13,15,7,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7662
2,9,6,9,25,4,25,19,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13882
1,12,5,18,5,23,30,5,25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6218
1,1,3,16,50,21,35,4,45,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,13302
0,24,6,9,0,11,25,2,25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3873
1,12,3,18,55,10,25,15,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,11087
1,1,3,8,0,5,5,21,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,22270
1,12,3,8,55,10,25,25,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,11087
1,27,5,11,25,19,15,7,50,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,8625
1,1,6,9,45,23,0,13,15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,8907
0,18,4,20,20,22,55,2,35,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4174
0,24,6,11,40,13,55,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,4667
1,9,5,21,10,9,20,12,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9663
0,24,4,17,15,19,50,2,35,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4804
2,3,3,16,40,19,15,26,35,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,14011
1,15,4,8,45,13,15,4,30,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,5830
1,12,6,14,0,12,35,22,35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10262
2,12,6,20,15,19,15,23,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13381
1,27,5,16,0,12,35,20,35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,12898
1,6,3,14,10,19,20,5,10,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,19495
1,21,3,22,0,13,20,15,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,6955
0,3,4,4,0,6,50,2,50,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3943
0,1,5,18,55,21,50,2,55,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4823
1,6,5,18,55,8,15,13,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7757
2,9,6,21,25,12,35,15,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13292
1,1,6,21,50,3,35,5,45,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,8238
1,15,5,7,0,12,55,5,55,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7682
0,18,6,9,45,12,35,2,50,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,4668
0,15,6,7,5,9,20,2,15,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,3687
0,18,6,7,5,9,20,2,15,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,3687
2,1,5,9,50,23,15,13,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13227
0,6,4,4,0,6,50,2,50,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4423
2,15,6,14,35,12,35,22,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10919
1,18,5,7,5,12,35,5,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,12373
1,27,6,10,35,21,0,10,25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5894
1,21,5,15,5,20,20,5,15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,4649
0,18,5,14,15,16,45,2,30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6245
1,6,3,7,0,13,15,6,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,19225
1,3,6,7,5,19,0,11,55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,14924
1,21,5,7,5,18,10,11,5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,9646
1,15,3,6,45,15,15,8,30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8714
1,18,5,20,55,19,0,22,5,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,12373
0,6,5,11,10,13,55,2,45,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3383
1,21,3,9,0,21,0,12,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13062
0,24,3,5,45,8,35,2,50,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3527
0,27,5,4,0,6,50,2,50,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3943
0,3,5,11,40,13,55,2,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,4667
1,15,5,19,0,11,5,16,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6117
2,27,6,23,5,19,0,19,55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,11150
0,9,3,11,0,14,15,3,15,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7202
1,1,5,9,35,10,55,25,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12121
0,24,3,22,20,1,10,2,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4377
0,18,6,21,15,0,15,3,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3943
0,3,4,23,55,2,45,2,50,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4483
1,24,3,19,45,12,0,16,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14231
2,1,3,8,50,23,55,15,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,17345
0,6,3,7,5,9,20,2,15,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,7414
1,6,5,19,0,1,30,6,30,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,8073
1,6,3,15,40,16,45,25,5,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,12395
1,6,6,9,25,21,50,12,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8366
1,3,4,6,5,9,25,27,20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5117
1,3,6,8,45,19,0,10,15,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,12524
1,15,5,15,0,1,30,10,30,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7191
0,24,5,7,5,9,20,2,15,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,3687
1,24,6,10,35,21,0,10,25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5894
0,24,4,9,45,12,35,2,50,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,5403
0,6,5,13,55,15,25,1,30,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,3625
2,21,5,5,55,19,15,13,20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10861
0,12,3,13,20,15,35,2,15,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,6297
0,1,6,7,5,8,30,1,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,5678
1,9,3,5,45,8,15,26,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,9134
1,24,6,11,40,19,0,7,20,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,10791
2,24,6,23,5,12,35,13,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,12819
1,21,3,5,5,10,5,5,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,6893
0,9,3,9,50,12,35,2,45,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,7240
0,3,4,11,40,14,30,2,50,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3898
0,3,4,6,25,7,55,1,30,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,4049
1,15,6,17,30,12,35,19,5,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10262
0,21,3,8,20,10,35,2,15,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,3332
1,9,6,21,10,12,0,14,50,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10844
0,24,3,19,55,22,35,2,40,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7229
1,6,5,6,30,4,40,22,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13941
1,27,6,11,25,21,0,9,35,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5894
1,18,5,9,0,19,0,10,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,10197
1,6,3,14,5,11,25,21,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,13712
1,24,6,2,0,7,25,5,25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5636
2,6,6,9,40,4,25,18,45,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13014
1,1,4,8,25,20,45,12,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7064
1,24,5,20,25,14,25,18,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10703
1,27,5,13,15,22,30,9,15,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,9646
1,6,3,2,15,13,20,11,5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,17057
1,12,3,16,55,10,25,17,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,13817
2,6,3,5,55,19,15,13,20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13748
0,21,4,20,45,23,20,2,35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4880
0,21,6,5,15,7,40,2,25,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,3540
0,15,5,5,55,8,35,2,40,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,3257
0,3,6,19,50,22,50,3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6478
0,18,6,7,5,8,30,1,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,8040
2,12,6,20,0,12,35,16,35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,14300
1,15,5,8,25,20,45,12,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14781
1,9,6,20,0,8,15,12,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14939
1,24,6,20,55,4,25,7,30,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10262
1,12,5,14,35,14,35,24,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6528
0,1,5,6,10,8,55,2,45,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6121
2,18,5,19,30,4,25,8,55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13029
1,27,3,11,40,18,50,7,10,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,11421
1,27,3,4,45,19,15,14,30,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,7574
2,9,5,12,55,19,15,30,20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,11596
2,24,5,23,5,19,0,19,55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15129
1,18,3,14,5,5,5,15,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,13555
0,12,4,18,55,21,50,2,55,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5780
1,12,5,20,20,9,5,12,45,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9397
1,6,3,18,15,4,25,10,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,17024
1,27,6,7,0,12,55,5,55,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5281
1,18,5,7,5,22,30,15,25,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,10348
1,6,3,17,20,9,25,16,5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,12677
1,3,3,15,25,1,35,10,10,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,15147
0,12,6,7,0,9,40,2,40,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,4668
1,9,5,7,5,19,0,11,55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15554
0,9,4,5,55,8,35,2,40,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,3971
0,3,5,15,0,16,25,1,25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,3100
1,6,5,20,0,10,5,14,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9663
1,1,3,23,0,19,15,20,15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,27430
0,12,5,5,15,7,40,2,25,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,3540
2,21,5,12,0,11,10,23,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10676
1,12,6,14,5,8,15,18,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13044
1,6,5,20,0,12,0,16,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14388
0,24,6,4,0,6,50,2,50,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3943
0,3,6,14,45,17,5,2,20,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,3597
1,21,3,11,50,19,50,8,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5932
1,15,6,11,30,4,25,16,55,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10262
0,12,5,14,40,17,50,3,10,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,6216
0,15,6,20,25,23,10,2,45,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4804
1,21,5,11,30,1,30,14,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,14067
2,18,5,19,10,19,0,23,50,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15129
2,6,6,6,45,4,25,21,40,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,13376
2,27,6,22,0,19,15,21,15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10441
0,24,5,6,0,8,45,2,45,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4030
1,3,3,8,0,18,50,10,50,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,17024
1,9,4,17,30,1,30,8,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13017
1,6,6,23,30,7,45,8,15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6686
1,15,6,2,0,7,25,5,25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5636
1,9,6,7,35,16,10,8,35,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,6442
1,21,5,13,5,0,55,11,50,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,9486
1,21,5,20,0,23,35,27,35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10844
2,3,6,20,0,4,25,8,25,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,15318
1,3,4,12,30,9,25,20,55,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5117
1,24,6,15,10,20,0,4,50,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,6147
1,9,6,12,50,21,0,8,10,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,7005
0,3,4,22,20,0,40,2,20,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3873
2,21,3,18,25,18,50,24,25,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,9270
0,27,6,11,40,14,30,2,50,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3898
1,12,5,8,25,20,45,12,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14781
1,24,5,20,0,8,15,12,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8586
2,9,5,8,20,7,55,23,35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10697
2,27,6,20,0,12,35,16,35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,14300
0,3,3,18,55,21,45,2,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,8855
1,12,5,16,30,18,15,25,45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10844
1,6,3,2,15,4,25,26,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,17024
1,1,5,9,35,14,25,28,50,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9314
0,24,3,0,40,3,25,2,45,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4777
1,9,6,12,0,13,15,25,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7662
1,9,5,6,50,16,10,9,20,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,6442
1,12,6,8,45,13,15,4,30,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,5264
1,27,5,13,0,4,25,15,25,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,12898
0,3,3,13,55,15,25,1,30,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,6092
0,21,5,5,55,8,35,2,40,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,3311
1,27,3,19,15,4,25,9,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,6540
0,27,5,1,30,4,15,2,45,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3419
1,3,4,14,0,12,35,22,35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5177
0,18,4,18,5,21,10,3,5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,8246
1,9,6,9,35,21,5,11,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14676
1,27,6,11,30,21,0,9,30,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13587
1,6,5,21,10,9,20,12,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9663
1,12,6,16,30,10,5,17,35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13044
1,3,4,20,25,1,30,5,5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5073
1,21,5,17,0,18,50,25,50,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9345
1,6,5,14,5,10,5,20,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9663
1,21,5,8,0,21,0,13,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,14277
1,1,6,10,0,4,25,18,25,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,10262
0,27,3,19,35,21,5,1,30,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,5678
1,15,5,16,0,1,30,9,30,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13727
1,6,5,20,0,12,0,16,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9663
